name,link,severity,package,version,fixedBy
CVE-2025-69419,https://avd.aquasec.com/nvd/cve-2025-69419,HIGH,openssl,3.5.4-1~deb13u1,3.5.4-1~deb13u2
CVE-2025-69419,https://avd.aquasec.com/nvd/cve-2025-69419,HIGH,openssl-provider-legacy,3.5.4-1~deb13u1,3.5.4-1~deb13u2
CVE-2025-15366,https://avd.aquasec.com/nvd/cve-2025-15366,HIGH,python3.13,3.13.5-2,
CVE-2025-15367,https://avd.aquasec.com/nvd/cve-2025-15367,HIGH,python3.13,3.13.5-2,
CVE-2025-8194,https://avd.aquasec.com/nvd/cve-2025-8194,HIGH,python3.13,3.13.5-2,
CVE-2025-15366,https://avd.aquasec.com/nvd/cve-2025-15366,HIGH,python3.13-minimal,3.13.5-2,
CVE-2025-15367,https://avd.aquasec.com/nvd/cve-2025-15367,HIGH,python3.13-minimal,3.13.5-2,
CVE-2025-8194,https://avd.aquasec.com/nvd/cve-2025-8194,HIGH,python3.13-minimal,3.13.5-2,
CVE-2025-14104,https://avd.aquasec.com/nvd/cve-2025-14104,MEDIUM,bsdutils,1:2.41-5,
CVE-2025-14104,https://avd.aquasec.com/nvd/cve-2025-14104,MEDIUM,libblkid1,2.41-5,
CVE-2025-15281,https://avd.aquasec.com/nvd/cve-2025-15281,MEDIUM,libc-bin,2.41-12+deb13u1,
CVE-2026-0915,https://avd.aquasec.com/nvd/cve-2026-0915,MEDIUM,libc-bin,2.41-12+deb13u1,
CVE-2025-15281,https://avd.aquasec.com/nvd/cve-2025-15281,MEDIUM,libc6,2.41-12+deb13u1,
CVE-2026-0915,https://avd.aquasec.com/nvd/cve-2026-0915,MEDIUM,libc6,2.41-12+deb13u1,
CVE-2025-59375,https://avd.aquasec.com/nvd/cve-2025-59375,MEDIUM,libexpat1,2.7.1-2,
CVE-2025-66382,https://avd.aquasec.com/nvd/cve-2025-66382,MEDIUM,libexpat1,2.7.1-2,
CVE-2025-14104,https://avd.aquasec.com/nvd/cve-2025-14104,MEDIUM,liblastlog2-2,2.41-5,
CVE-2025-14104,https://avd.aquasec.com/nvd/cve-2025-14104,MEDIUM,libmount1,2.41-5,
CVE-2025-11468,https://avd.aquasec.com/nvd/cve-2025-11468,MEDIUM,libpython3.13-minimal,3.13.5-2,
CVE-2025-12084,https://avd.aquasec.com/nvd/cve-2025-12084,MEDIUM,libpython3.13-minimal,3.13.5-2,
CVE-2025-12781,https://avd.aquasec.com/nvd/cve-2025-12781,MEDIUM,libpython3.13-minimal,3.13.5-2,
CVE-2025-13837,https://avd.aquasec.com/nvd/cve-2025-13837,MEDIUM,libpython3.13-minimal,3.13.5-2,
CVE-2025-15282,https://avd.aquasec.com/nvd/cve-2025-15282,MEDIUM,libpython3.13-minimal,3.13.5-2,
CVE-2025-6069,https://avd.aquasec.com/nvd/cve-2025-6069,MEDIUM,libpython3.13-minimal,3.13.5-2,
CVE-2025-6075,https://avd.aquasec.com/nvd/cve-2025-6075,MEDIUM,libpython3.13-minimal,3.13.5-2,
CVE-2025-8291,https://avd.aquasec.com/nvd/cve-2025-8291,MEDIUM,libpython3.13-minimal,3.13.5-2,
CVE-2026-0672,https://avd.aquasec.com/nvd/cve-2026-0672,MEDIUM,libpython3.13-minimal,3.13.5-2,
CVE-2026-0865,https://avd.aquasec.com/nvd/cve-2026-0865,MEDIUM,libpython3.13-minimal,3.13.5-2,
CVE-2025-11468,https://avd.aquasec.com/nvd/cve-2025-11468,MEDIUM,libpython3.13-stdlib,3.13.5-2,
CVE-2025-12084,https://avd.aquasec.com/nvd/cve-2025-12084,MEDIUM,libpython3.13-stdlib,3.13.5-2,
CVE-2025-12781,https://avd.aquasec.com/nvd/cve-2025-12781,MEDIUM,libpython3.13-stdlib,3.13.5-2,
CVE-2025-13837,https://avd.aquasec.com/nvd/cve-2025-13837,MEDIUM,libpython3.13-stdlib,3.13.5-2,
CVE-2025-15282,https://avd.aquasec.com/nvd/cve-2025-15282,MEDIUM,libpython3.13-stdlib,3.13.5-2,
